Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
651,LSTM_A_model,72 hours,0.88,1.75,2.26,1.76,0.79,0.6,5.11
651,LSTM_A_model,120 hours,0.88,1.65,2.13,1.76,0.73,0.53,4.52
175,LSTM_A_model,3 hours,0.0,6.74,6.74,2.0,,-inf,45.49
175,LSTM_A_model,6 hours,0.05,5.77,5.85,1.38,-1.0,-1519.8,34.22
175,LSTM_A_model,12 hours,0.09,4.0,4.44,1.7,-0.3,-1167.55,19.72
175,LSTM_A_model,24 hours,0.67,3.76,4.18,1.72,0.58,-3.4,17.46
175,LSTM_A_model,36 hours,0.78,2.66,3.43,1.73,0.53,-0.88,11.74
175,LSTM_A_model,72 hours,0.84,2.08,2.74,1.73,0.66,-0.15,7.49
175,LSTM_A_model,120 hours,0.87,1.71,2.32,1.74,0.73,0.25,5.38
1148,LSTM_A_model,3 hours,0.0,4.78,4.78,2.0,,-inf,22.87
1148,LSTM_A_model,6 hours,0.73,2.97,3.48,1.11,1.0,0.01,12.1
1148,LSTM_A_model,12 hours,0.76,4.5,4.93,1.38,1.0,0.13,24.33
1148,LSTM_A_model,24 hours,0.78,4.13,4.42,1.55,0.92,0.34,19.56
1148,LSTM_A_model,36 hours,0.79,4.14,4.45,1.63,0.91,0.41,19.82
1148,LSTM_A_model,72 hours,0.8,4.05,4.38,1.66,0.79,0.3,19.14
1148,LSTM_A_model,120 hours,0.81,3.71,4.01,1.73,0.63,0.1,16.07
355,LSTM_A_model,3 hours,0.0,0.33,0.33,2.0,,-inf,0.11
355,LSTM_A_model,6 hours,0.34,0.78,0.91,1.44,1.0,-35.45,0.82
355,LSTM_A_model,12 hours,0.85,1.69,1.96,1.75,0.97,0.73,3.84
355,LSTM_A_model,24 hours,0.82,2.66,3.24,1.76,0.62,0.27,10.51
355,LSTM_A_model,36 hours,0.86,2.0,2.69,1.76,0.69,0.38,7.25
355,LSTM_A_model,72 hours,0.88,1.62,2.34,1.76,0.69,0.33,5.48
355,LSTM_A_model,120 hours,0.9,1.4,1.99,1.76,0.73,0.44,3.97
939,LSTM_A_model,3 hours,0.0,4.02,4.02,2.0,,-inf,16.19
939,LSTM_A_model,6 hours,0.14,2.92,3.12,1.58,1.0,-242.24,9.73
